model,audio,duration,duration_after_vad,time,wer,wil,wip,mer
base,common_voice_it_20031325.mp3,5.064,5.064,256.46070671081543,0.6,0.7714285714285715,0.22857142857142856,0.6
base,common_voice_it_24568622.mp3,4.716,4.636,7.988248109817505,1.75,1.0,0.0,1.0
base,common_voice_it_20272130.mp3,6.192,3.392,31.04582643508911,0.75,0.8,0.2,0.6
base,common_voice_it_20295298.mp3,9.936,7.28,2.736196279525757,0.23076923076923078,0.40828402366863903,0.591715976331361,0.23076923076923078
base,common_voice_it_40183570.mp3,5.616,5.616,62.122405767440796,0.08333333333333333,0.08333333333333337,0.9166666666666666,0.08333333333333333
base,common_voice_it_20284241.mp3,6.72,5.584,2.0143442153930664,0.09090909090909091,0.17355371900826455,0.8264462809917354,0.09090909090909091
base,common_voice_it_27265223.mp3,6.696,5.88,2.2104711532592773,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.3333333333333333
base,common_voice_it_20265660.mp3,6.984,6.264,1.7577998638153076,0.09090909090909091,0.17355371900826455,0.8264462809917354,0.09090909090909091
base,common_voice_it_18710523.mp3,4.224,4.016,3.093543291091919,0.5,0.75,0.25,0.5
base,common_voice_it_35178368.mp3,4.752,3.68,7.066427707672119,1.1666666666666667,1.0,0.0,1.0
base,common_voice_it_17971295.mp3,2.952,2.264,1.3273255825042725,0.0,0.0,1.0,0.0
base,common_voice_it_20090595.mp3,6.936,4.064,1.9480664730072021,0.08333333333333333,0.15972222222222232,0.8402777777777777,0.08333333333333333
base,common_voice_it_20242442.mp3,5.712,5.184,1.7675204277038574,0.2,0.3599999999999999,0.6400000000000001,0.2
base,common_voice_it_22725840.mp3,6.672,6.624,2.0713448524475098,0.7272727272727273,0.8251748251748252,0.17482517482517482,0.6153846153846154
base,common_voice_it_27703537.mp3,6.912,6.912,2.592259407043457,0.23076923076923078,0.3351648351648352,0.6648351648351648,0.21428571428571427
base,common_voice_it_26690702.mp3,5.94,5.94,2.562666416168213,0.42857142857142855,0.6142857142857143,0.38571428571428573,0.4
base,common_voice_it_17510630.mp3,5.928,5.368,2.4227404594421387,0.14285714285714285,0.1952380952380952,0.8047619047619048,0.13333333333333333
base,common_voice_it_39641526.mp3,5.508,5.172,1.667754888534546,0.2857142857142857,0.40476190476190477,0.5952380952380952,0.2857142857142857
base,common_voice_it_19266438.mp3,4.968,3.096,1.3636517524719238,0.75,0.875,0.125,0.75
base,common_voice_it_17867418.mp3,3.984,3.328,1.894054889678955,0.2,0.3599999999999999,0.6400000000000001,0.2
base,common_voice_it_20024355.mp3,6.696,6.696,2.466923475265503,0.35714285714285715,0.5238095238095238,0.47619047619047616,0.3333333333333333
base,common_voice_it_25463290.mp3,4.356,3.764,1.628467321395874,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5
base,common_voice_it_19769858.mp3,4.416,3.184,5.374802350997925,1.0,1.0,0.0,1.0
base,common_voice_it_39573739.mp3,6.3,5.74,2.766916513442993,0.3076923076923077,0.4505494505494505,0.5494505494505495,0.2857142857142857
base,common_voice_it_18810122.mp3,7.296,7.296,2.6607062816619873,0.4666666666666667,0.6952380952380952,0.30476190476190473,0.4666666666666667
base,common_voice_it_26969844.mp3,9.468,4.864,2.2065541744232178,0.5555555555555556,0.7222222222222222,0.2777777777777778,0.5
base,common_voice_it_20024719.mp3,7.128,6.312,2.320690631866455,0.3,0.51,0.48999999999999994,0.3
base,common_voice_it_17853848.mp3,4.992,4.336,2.0334312915802,0.25,0.4375,0.5625,0.25
base,common_voice_it_23928130.mp3,5.544,5.544,22.755476713180542,1.0714285714285714,0.9952380952380953,0.0047619047619047615,0.9375
base,common_voice_it_20226299.mp3,5.736,5.112,1.9272074699401855,0.125,0.234375,0.765625,0.125
base,common_voice_it_20264619.mp3,4.632,4.632,9.337841987609863,1.8,0.98,0.020000000000000004,0.9
base,common_voice_it_25460881.mp3,3.708,3.148,1.5470020771026611,0.0,0.0,1.0,0.0
base,common_voice_it_31706489.mp3,6.516,5.316,2.245530843734741,0.2727272727272727,0.47107438016528924,0.5289256198347108,0.2727272727272727
base,common_voice_it_20073924.mp3,4.2,3.608,1.552919626235962,1.4,0.975,0.025,0.875
base,common_voice_it_20266701.mp3,4.896,4.784,1.522920846939087,0.42857142857142855,0.6734693877551021,0.32653061224489793,0.42857142857142855
base,common_voice_it_27417013.mp3,5.544,5.544,1.792588233947754,0.5,0.6527777777777778,0.3472222222222222,0.4444444444444444
base,common_voice_it_18282830.mp3,3.24,3.24,1.9658780097961426,0.45454545454545453,0.5524475524475524,0.4475524475524476,0.38461538461538464
base,common_voice_it_37464142.mp3,8.1,8.1,2.679631471633911,0.5384615384615384,0.7869822485207101,0.21301775147928997,0.5384615384615384
base,common_voice_it_19977983.mp3,6.12,5.848,2.356886625289917,0.42857142857142855,0.6483516483516483,0.3516483516483517,0.42857142857142855
base,common_voice_it_20023569.mp3,5.448,5.448,2.1827869415283203,0.7,0.7727272727272727,0.22727272727272727,0.5833333333333334
base,common_voice_it_40034894.mp3,5.148,4.748,2.056087017059326,0.15384615384615385,0.22435897435897445,0.7756410256410255,0.15384615384615385
base,common_voice_it_40368947.mp3,4.248,4.136,1.9855592250823975,0.1111111111111111,0.2098765432098766,0.7901234567901234,0.1111111111111111
base,common_voice_it_22425364.mp3,1.5935,1.5775,1.0960416793823242,0.5,0.75,0.25,0.5
base,common_voice_it_31260678.mp3,5.94,2.624,4.6647655963897705,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666666
base,common_voice_it_20226744.mp3,5.184,4.88,2.441152572631836,0.8181818181818182,0.9318181818181819,0.06818181818181818,0.75
base,common_voice_it_19985867.mp3,4.296,3.96,1.7624056339263916,0.4,0.5545454545454546,0.44545454545454544,0.36363636363636365
base,common_voice_it_20226764.mp3,7.08,6.072,2.302798271179199,0.15384615384615385,0.20879120879120883,0.7912087912087912,0.14285714285714285
base,common_voice_it_18281351.mp3,7.992,7.56,2.4419121742248535,0.1111111111111111,0.2098765432098766,0.7901234567901234,0.1111111111111111
base,common_voice_it_22121196.mp3,6.432,5.744,2.334907293319702,0.45454545454545453,0.6727272727272728,0.3272727272727272,0.45454545454545453
base,common_voice_it_40060582.mp3,7.776,7.344,2.389486074447632,0.3076923076923077,0.4505494505494505,0.5494505494505495,0.2857142857142857
base,common_voice_it_27334666.mp3,6.228,5.732,2.070391893386841,0.18181818181818182,0.26363636363636356,0.7363636363636364,0.18181818181818182
base,common_voice_it_19998125.mp3,5.112,4.808,2.3722634315490723,0.6428571428571429,0.8285714285714285,0.17142857142857143,0.6
small,common_voice_it_23606167.mp3,5.538,4.722,4.845546722412109,0.0,0.0,1.0,0.0
small,common_voice_it_40457039.mp3,6.084,5.684,566.667281627655,0.1,0.18999999999999995,0.81,0.1
small,common_voice_it_40283173.mp3,5.58,5.468,5.309209108352661,0.36363636363636365,0.505050505050505,0.494949494949495,0.36363636363636365
small,common_voice_it_20045040.mp3,7.776,7.568,5.1617653369903564,0.16666666666666666,0.30555555555555547,0.6944444444444445,0.16666666666666666
small,common_voice_it_26970935.mp3,4.536,4.328,4.747358322143555,0.0,0.0,1.0,0.0
small,common_voice_it_17544185.mp3,3.168,2.64,3.599299192428589,0.0,0.0,1.0,0.0
small,common_voice_it_20042813.mp3,6.648,6.024,5.438483953475952,0.15384615384615385,0.20879120879120883,0.7912087912087912,0.14285714285714285
small,common_voice_it_21916542.mp3,3.576,2.696,3.071815013885498,0.0,0.0,1.0,0.0
small,common_voice_it_20268831.mp3,5.76,5.232,4.351790189743042,0.0,0.0,1.0,0.0
small,common_voice_it_20069601.mp3,5.616,5.408,4.757739067077637,0.36363636363636365,0.5950413223140496,0.4049586776859504,0.36363636363636365
small,common_voice_it_20001185.mp3,9.96,5.28,5.072104454040527,0.15384615384615385,0.28402366863905326,0.7159763313609467,0.15384615384615385
small,common_voice_it_19997999.mp3,2.592,2.096,3.1316192150115967,1.0,1.0,0.0,1.0
small,common_voice_it_40258742.mp3,3.42,3.18,3.407090663909912,0.0,0.0,1.0,0.0
small,common_voice_it_20033266.mp3,6.552,6.184,6.407883882522583,0.5,0.586734693877551,0.41326530612244905,0.4375
small,common_voice_it_40677466.mp3,6.264,5.992,4.9536521434783936,0.0,0.0,1.0,0.0
small,common_voice_it_20268098.mp3,9.888,8.048,6.032488107681274,0.16666666666666666,0.30555555555555547,0.6944444444444445,0.16666666666666666
small,common_voice_it_19987982.mp3,7.584,0.0,0.3673832416534424,1.0,1,0,1.0
small,common_voice_it_20228693.mp3,9.528,5.896,5.547006368637085,0.3,0.4555555555555556,0.5444444444444444,0.3
small,common_voice_it_20058011.mp3,7.584,5.2,4.512470483779907,0.2727272727272727,0.3535353535353536,0.6464646464646464,0.2727272727272727
small,common_voice_it_21976479.mp3,2.4,1.968,3.1148338317871094,0.5,0.75,0.25,0.5
small,common_voice_it_20252212.mp3,6.384,6.384,4.906580448150635,0.09090909090909091,0.17355371900826455,0.8264462809917354,0.09090909090909091
small,common_voice_it_20042178.mp3,7.704,6.536,5.607754230499268,0.07692307692307693,0.1479289940828401,0.8520710059171599,0.07692307692307693
small,common_voice_it_20275659.mp3,3.648,3.376,84.4508798122406,0.0,0.0,1.0,0.0
small,common_voice_it_18370587.mp3,7.032,6.184,5.857379913330078,0.0,0.0,1.0,0.0
small,common_voice_it_20307472.mp3,8.712,5.824,5.628598690032959,0.2,0.26363636363636356,0.7363636363636364,0.18181818181818182
small,common_voice_it_17642442.mp3,6.216,5.624,5.0924599170684814,0.14285714285714285,0.20879120879120883,0.7912087912087912,0.14285714285714285
small,common_voice_it_19980855.mp3,4.2,4.2,5.300434589385986,0.5,0.6875,0.3125,0.5
small,common_voice_it_31467945.mp3,6.156,5.5,5.099420070648193,0.07692307692307693,0.1479289940828401,0.8520710059171599,0.07692307692307693
small,common_voice_it_39998215.mp3,6.336,6.336,5.929969787597656,0.1,0.09090909090909094,0.9090909090909091,0.09090909090909091
small,common_voice_it_40255898.mp3,6.948,6.772,5.318764686584473,0.21428571428571427,0.3351648351648352,0.6648351648351648,0.21428571428571427
small,common_voice_it_23985788.mp3,5.616,4.96,4.980282545089722,0.7142857142857143,0.8392857142857143,0.1607142857142857,0.625
small,common_voice_it_20078101.mp3,5.736,5.736,4.929217576980591,0.0,0.0,1.0,0.0
small,common_voice_it_20075501.mp3,7.224,6.12,5.0796709060668945,0.2222222222222222,0.3950617283950617,0.6049382716049383,0.2222222222222222
small,common_voice_it_40679939.mp3,5.688,5.224,4.857762098312378,0.0,0.0,1.0,0.0
small,common_voice_it_20413752.mp3,6.864,6.176,6.4188759326934814,0.5,0.6952380952380952,0.30476190476190473,0.4666666666666667
small,common_voice_it_40677525.mp3,3.78,3.78,4.45081901550293,0.16666666666666666,0.30555555555555547,0.6944444444444445,0.16666666666666666
small,common_voice_it_20223601.mp3,7.08,7.08,4.721542596817017,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.5
small,common_voice_it_19986109.mp3,5.76,5.168,4.591775894165039,0.1111111111111111,0.2098765432098766,0.7901234567901234,0.1111111111111111
small,common_voice_it_36377626.mp3,2.52,2.152,3.3113672733306885,1.0,1.0,0.0,1.0
small,common_voice_it_29885705.mp3,4.068,3.764,4.428027391433716,0.5714285714285714,0.8163265306122449,0.18367346938775508,0.5714285714285714
small,common_voice_it_19976130.mp3,2.592,2.592,48.97238206863403,1.0,1.0,0.0,1.0
small,common_voice_it_20077811.mp3,3.432,3.128,4.296158790588379,1.25,0.9583333333333334,0.041666666666666664,0.8333333333333334
small,common_voice_it_25274093.mp3,3.528,3.0,4.3041276931762695,0.5,0.6190476190476191,0.38095238095238093,0.42857142857142855
small,common_voice_it_21568320.mp3,6.696,3.008,3.4189043045043945,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.3333333333333333
small,common_voice_it_20066508.mp3,3.96,3.272,3.649902105331421,0.0,0.0,1.0,0.0
small,common_voice_it_24085875.mp3,6.3,6.028,4.921195983886719,0.0,0.0,1.0,0.0
small,common_voice_it_20060712.mp3,6.048,5.744,6.058283090591431,0.21428571428571427,0.38265306122448983,0.6173469387755102,0.21428571428571427
small,common_voice_it_26860866.mp3,3.06,2.436,3.2284116744995117,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.3333333333333333
small,common_voice_it_20031325.mp3,5.064,5.064,4.52510666847229,0.2,0.28888888888888886,0.7111111111111111,0.2
small,common_voice_it_24568622.mp3,4.716,4.636,39.7801628112793,1.0,1.0,0.0,1.0
small,common_voice_it_20272130.mp3,6.192,3.392,4.002652645111084,0.0,0.0,1.0,0.0
small,common_voice_it_20295298.mp3,9.936,7.28,6.020806550979614,0.0,0.0,1.0,0.0
small,common_voice_it_40183570.mp3,5.616,5.616,5.198795318603516,0.08333333333333333,0.15972222222222232,0.8402777777777777,0.08333333333333333
small,common_voice_it_20284241.mp3,6.72,5.584,5.222461462020874,0.0,0.0,1.0,0.0
small,common_voice_it_27265223.mp3,6.696,5.88,5.522797584533691,0.08333333333333333,0.15972222222222232,0.8402777777777777,0.08333333333333333
small,common_voice_it_20265660.mp3,6.984,6.264,4.9994964599609375,0.18181818181818182,0.3305785123966941,0.6694214876033059,0.18181818181818182
small,common_voice_it_18710523.mp3,4.224,4.016,3.5186665058135986,0.5,0.5,0.5,0.5
small,common_voice_it_35178368.mp3,4.752,3.68,4.036736965179443,0.3333333333333333,0.4666666666666667,0.5333333333333333,0.3333333333333333
small,common_voice_it_17971295.mp3,2.952,2.264,3.6076340675354004,0.0,0.0,1.0,0.0
small,common_voice_it_20090595.mp3,6.936,4.064,4.802427291870117,0.0,0.0,1.0,0.0
small,common_voice_it_20242442.mp3,5.712,5.184,4.488455533981323,0.2,0.3599999999999999,0.6400000000000001,0.2
small,common_voice_it_22725840.mp3,6.672,6.624,5.185198068618774,0.0,0.0,1.0,0.0
small,common_voice_it_27703537.mp3,6.912,6.912,6.144691705703735,0.07692307692307693,0.1479289940828401,0.8520710059171599,0.07692307692307693
small,common_voice_it_26690702.mp3,5.94,5.94,5.594630479812622,0.14285714285714285,0.20879120879120883,0.7912087912087912,0.14285714285714285
small,common_voice_it_17510630.mp3,5.928,5.368,5.3612470626831055,0.14285714285714285,0.1952380952380952,0.8047619047619048,0.13333333333333333
small,common_voice_it_39641526.mp3,5.508,5.172,4.020293474197388,0.0,0.0,1.0,0.0
small,common_voice_it_19266438.mp3,4.968,3.096,3.4585869312286377,0.0,0.0,1.0,0.0
small,common_voice_it_17867418.mp3,3.984,3.328,4.632390260696411,0.0,0.0,1.0,0.0
small,common_voice_it_20024355.mp3,6.696,6.696,5.3734071254730225,0.07142857142857142,0.1377551020408163,0.8622448979591837,0.07142857142857142
small,common_voice_it_25463290.mp3,4.356,3.764,4.421802997589111,0.2857142857142857,0.4897959183673469,0.5102040816326531,0.2857142857142857
small,common_voice_it_19769858.mp3,4.416,3.184,3.518218755722046,0.2,0.3599999999999999,0.6400000000000001,0.2
small,common_voice_it_39573739.mp3,6.3,5.74,6.3486716747283936,0.07692307692307693,0.1479289940828401,0.8520710059171599,0.07692307692307693
small,common_voice_it_18810122.mp3,7.296,7.296,6.62396764755249,0.26666666666666666,0.4622222222222223,0.5377777777777777,0.26666666666666666
small,common_voice_it_26969844.mp3,9.468,4.864,5.554487466812134,0.2222222222222222,0.3194444444444444,0.6805555555555556,0.2222222222222222
small,common_voice_it_20024719.mp3,7.128,6.312,5.4228925704956055,0.3,0.51,0.48999999999999994,0.3
small,common_voice_it_17853848.mp3,4.992,4.336,5.360583066940308,0.25,0.4375,0.5625,0.25
small,common_voice_it_23928130.mp3,5.544,5.544,78.99796962738037,1.1428571428571428,0.9841269841269842,0.015873015873015872,0.8888888888888888
small,common_voice_it_20226299.mp3,5.736,5.112,4.443980932235718,0.0,0.0,1.0,0.0
small,common_voice_it_20264619.mp3,4.632,4.632,3.921525716781616,0.0,0.0,1.0,0.0
small,common_voice_it_25460881.mp3,3.708,3.148,4.330139398574829,0.16666666666666666,0.30555555555555547,0.6944444444444445,0.16666666666666666
small,common_voice_it_31706489.mp3,6.516,5.316,5.526668071746826,0.0,0.0,1.0,0.0
small,common_voice_it_20073924.mp3,4.2,3.608,4.480272054672241,1.2,1.0,0.0,1.0
small,common_voice_it_20266701.mp3,4.896,4.784,3.9639334678649902,0.14285714285714285,0.26530612244897966,0.7346938775510203,0.14285714285714285
small,common_voice_it_27417013.mp3,5.544,5.544,4.543337345123291,0.125,0.234375,0.765625,0.125
small,common_voice_it_18282830.mp3,3.24,3.24,4.838388204574585,0.2727272727272727,0.47107438016528924,0.5289256198347108,0.2727272727272727
small,common_voice_it_37464142.mp3,8.1,8.1,6.348645448684692,0.7692307692307693,0.9053254437869822,0.09467455621301776,0.7142857142857143
small,common_voice_it_19977983.mp3,6.12,5.848,5.761816501617432,0.07142857142857142,0.1377551020408163,0.8622448979591837,0.07142857142857142
small,common_voice_it_20023569.mp3,5.448,5.448,5.1869518756866455,0.5,0.7222222222222222,0.2777777777777778,0.5
small,common_voice_it_40034894.mp3,5.148,4.748,4.9414381980896,0.07692307692307693,0.1479289940828401,0.8520710059171599,0.07692307692307693
small,common_voice_it_40368947.mp3,4.248,4.136,4.946755409240723,0.0,0.0,1.0,0.0
small,common_voice_it_22425364.mp3,1.5935,1.5775,36.31552529335022,0.0,0.0,1.0,0.0
small,common_voice_it_31260678.mp3,5.94,2.624,3.4956564903259277,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666666
small,common_voice_it_20226744.mp3,5.184,4.88,6.088585615158081,0.45454545454545453,0.6287878787878788,0.3712121212121212,0.4166666666666667
small,common_voice_it_19985867.mp3,4.296,3.96,4.550682544708252,0.2,0.3599999999999999,0.6400000000000001,0.2
small,common_voice_it_20226764.mp3,7.08,6.072,5.238110303878784,0.0,0.0,1.0,0.0
small,common_voice_it_18281351.mp3,7.992,7.56,5.58201265335083,0.05555555555555555,0.10802469135802473,0.8919753086419753,0.05555555555555555
small,common_voice_it_22121196.mp3,6.432,5.744,5.371946334838867,0.18181818181818182,0.3305785123966941,0.6694214876033059,0.18181818181818182
small,common_voice_it_40060582.mp3,7.776,7.344,5.6320390701293945,0.0,0.0,1.0,0.0
small,common_voice_it_27334666.mp3,6.228,5.732,15.819698095321655,0.09090909090909091,0.17355371900826455,0.8264462809917354,0.09090909090909091
small,common_voice_it_19998125.mp3,5.112,4.808,5.469587802886963,0.14285714285714285,0.20879120879120883,0.7912087912087912,0.14285714285714285
